"Trips","Income","Age","Edu","Marriage","Gender","Year"
0,9,9,5,2,1,2016
0,5,9,1,2,2,2016
0,4,10,2,4,2,2016
1,8,7,4,2,1,2016
0,5,9,5,2,1,2016
1,4,9,3,2,2,2016
2,5,8,2,4,2,2016
12,2,9,3,2,1,2016
0,1,8,2,2,2,2016
6,5,10,3,2,1,2016
2,6,7,3,2,2,2016
1,2,8,1,2,1,2016
3,4,9,3,4,2,2016
10,6,10,5,2,1,2016
5,6,5,5,1,1,2016
0,3,8,3,1,2,2016
1,9,8,4,2,2,2016
3,9,7,5,2,2,2016
2,5,7,4,2,2,2016
3,9,7,3,3,2,2016
0,8,6,4,1,1,2016
6,9,8,5,2,1,2016
1,10,7,6,2,1,2016
8,10,9,4,2,1,2016
2,2,9,5,2,2,2016
1,3,7,3,2,2,2016
0,4,10,1,4,2,2016
1,7,7,3,2,2,2016
1,8,8,4,2,1,2016
4,2,10,4,2,2,2016
0,1,10,3,2,1,2016
0,4,8,1,3,2,2016
1,6,6,5,2,2,2016
0,5,9,1,4,1,2016
4,5,6,3,2,2,2016
8,8,5,6,1,1,2016
1,5,9,2,1,2,2016
0,5,8,3,4,2,2016
4,2,7,1,4,2,2016
0,4,8,2,2,2,2016
1,4,10,1,2,1,2016
0,1,7,2,2,2,2016
6,3,10,3,2,1,2016
5,9,8,5,1,2,2016
0,5,4,5,1,2,2016
3,7,8,4,2,2,2016
6,6,7,4,2,1,2016
2,8,7,2,2,1,2016
3,4,2,5,1,2,2016
2,2,9,1,2,2,2016
0,6,6,3,1,1,2016
5,1,5,5,2,2,2016
4,2,10,2,2,1,2016
1,2,8,3,2,2,2016
2,1,2,3,1,2,2016
1,7,8,3,2,1,2016
2,2,10,1,2,2,2016
2,5,8,2,2,2,2016
1,4,9,1,2,2,2016
3,1,2,2,1,2,2016
4,1,6,4,2,2,2016
9,5,3,5,1,1,2016
6,6,5,5,1,1,2016
3,6,5,3,2,2,2016
0,4,10,2,2,1,2016
1,7,4,6,1,2,2016
4,5,7,5,2,2,2016
1,7,7,4,2,2,2016
16,10,6,5,2,1,2016
10,6,5,6,1,2,2016
1,2,10,1,2,2,2016
0,6,9,6,1,2,2016
1,9,10,5,2,1,2016
1,1,7,4,2,2,2016
0,7,8,5,2,1,2016
1,8,6,3,2,2,2016
2,3,10,3,4,2,2016
4,7,6,5,1,2,2016
2,7,7,3,2,2,2016
8,6,4,5,1,1,2016
2,7,4,5,1,1,2016
1,8,5,5,1,2,2016
1,6,5,4,1,2,2016
5,5,10,1,2,1,2016
0,7,3,2,1,1,2016
3,6,10,2,2,2,2016
2,6,4,5,1,2,2016
2,3,8,1,2,2,2016
1,2,10,1,2,1,2016
12,1,8,3,2,2,2016
0,2,10,2,4,2,2016
2,1,7,1,2,2,2016
0,5,9,5,2,2,2016
1,1,2,5,1,2,2016
4,6,7,5,2,2,2016
4,1,10,1,2,2,2016
2,2,9,5,2,1,2016
1,7,9,5,2,1,2016
3,6,10,6,4,1,2016
0,7,8,3,2,2,2016
0,10,8,5,2,1,2016
4,8,9,3,2,1,2016
2,1,7,3,2,2,2016
6,2,10,3,2,1,2016
0,1,7,3,2,2,2016
5,5,8,3,4,2,2016
6,8,8,5,2,1,2016
5,4,8,3,2,2,2016
1,10,6,4,2,1,2016
0,2,10,2,4,2,2016
1,5,10,2,2,1,2016
1,6,6,3,1,1,2016
4,5,8,2,2,2,2016
1,1,7,3,2,2,2016
2,4,9,3,2,2,2016
1,2,9,1,2,2,2016
0,8,8,5,2,2,2016
1,6,9,3,2,1,2016
12,2,9,2,2,2,2016
1,1,8,1,2,2,2016
0,8,9,5,2,2,2016
0,5,6,4,1,2,2016
1,7,7,6,2,2,2016
1,7,4,5,2,1,2016
0,10,6,5,2,2,2016
3,3,4,2,2,2,2016
5,5,6,3,1,2,2016
20,6,9,4,2,2,2016
4,7,6,5,2,2,2016
3,8,5,6,2,2,2016
12,8,5,3,2,1,2016
9,10,6,6,2,1,2016
2,9,6,5,2,2,2016
12,5,7,4,2,2,2016
0,6,5,3,2,1,2016
1,1,6,4,2,2,2016
0,5,6,3,2,1,2016
10,2,10,2,2,2,2016
2,5,6,2,2,1,2016
10,3,10,1,2,2,2016
2,6,8,3,2,2,2016
0,6,6,5,2,1,2016
3,10,8,2,2,1,2016
3,1,10,3,4,2,2016
0,3,9,5,2,1,2016
3,8,9,4,2,1,2016
0,2,10,2,2,2,2016
1,5,9,3,2,2,2016
1,7,7,5,2,1,2016
10,8,7,5,2,1,2016
1,10,9,5,2,1,2016
13,9,6,4,2,1,2016
10,10,8,5,2,1,2016
1,9,5,5,1,1,2016
0,9,6,5,2,2,2016
0,10,7,5,2,1,2016
1,10,6,6,2,1,2016
0,9,6,6,2,1,2016
3,7,7,5,2,1,2016
0,7,6,4,2,1,2016
3,9,5,6,2,1,2016
3,9,6,3,2,1,2016
0,10,4,5,1,2,2016
0,6,6,3,1,1,2016
5,10,5,6,2,1,2016
1,8,6,6,2,2,2016
0,10,7,5,2,1,2016
0,10,7,6,2,1,2016
0,10,7,3,2,1,2016
0,5,7,6,2,1,2016
15,9,5,5,1,1,2016
1,9,6,6,2,1,2016
2,6,10,6,2,1,2016
3,2,6,3,2,2,2016
1,7,10,4,2,2,2016
4,7,4,5,2,1,2016
1,8,7,5,2,1,2016
2,8,3,6,1,2,2016
12,1,6,5,2,2,2016
10,1,7,3,2,2,2016
3,5,5,5,2,1,2016
4,6,4,5,2,2,2016
0,4,8,3,2,2,2016
1,10,6,3,2,1,2016
0,5,6,3,2,2,2016
5,6,4,5,1,2,2016
3,8,5,5,1,1,2016
1,8,7,4,2,1,2016
2,6,5,5,2,1,2016
1,8,7,4,2,2,2016
2,7,4,6,1,1,2016
3,5,3,3,1,1,2016
2,5,4,5,1,2,2016
5,8,5,6,1,1,2016
1,10,8,3,2,1,2016
12,6,6,4,2,2,2016
0,5,3,5,1,1,2016
2,8,5,4,1,2,2016
1,8,5,5,2,2,2016
1,5,5,5,2,2,2016
0,4,3,5,1,2,2016
5,1,6,4,2,2,2016
3,5,4,5,1,1,2016
1,8,7,4,2,1,2016
3,4,2,3,1,2,2016
1,5,8,3,2,2,2016
1,6,5,4,2,1,2016
2,3,9,3,2,2,2016
0,6,6,3,2,1,2016
2,6,6,5,1,2,2016
6,8,6,6,1,2,2016
3,8,4,6,1,1,2016
0,5,5,3,3,2,2016
3,5,7,3,2,1,2016
2,6,7,4,2,1,2016
3,6,4,5,1,2,2016
1,7,4,5,1,2,2016
1,5,4,5,1,2,2016
0,5,9,1,2,1,2016
1,8,7,3,2,1,2016
0,8,10,3,2,1,2016
0,8,6,6,1,2,2016
1,6,4,5,1,2,2016
1,4,6,3,2,2,2016
1,5,3,4,1,2,2016
2,8,7,4,2,1,2016
2,2,3,5,1,2,2016
3,3,7,3,2,2,2016
10,5,5,5,2,2,2016
3,7,6,3,1,2,2016
4,6,10,4,2,2,2016
1,6,4,5,1,2,2016
0,9,9,4,2,2,2016
4,6,9,3,2,1,2016
2,6,5,6,1,2,2016
2,6,9,3,2,1,2016
5,8,7,3,2,1,2016
3,3,4,5,1,2,2016
0,5,4,5,1,1,2016
0,7,7,5,2,1,2016
1,10,7,6,2,1,2016
0,8,5,5,1,1,2016
10,10,7,4,2,2,2016
1,1,7,5,2,2,2016
2,8,5,4,1,2,2016
3,8,9,6,2,1,2016
1,8,6,5,2,2,2016
0,10,6,6,2,1,2016
0,8,6,5,1,1,2016
2,7,4,6,1,2,2016
2,6,5,5,1,1,2016
10,10,7,2,2,2,2016
0,7,7,5,1,2,2016
0,5,6,3,2,2,2016
4,10,6,4,2,1,2016
0,9,6,5,2,1,2016
1,6,4,5,1,2,2016
2,9,6,5,2,2,2016
1,7,7,5,2,2,2016
0,8,6,4,2,2,2016
0,8,7,4,2,1,2016
4,10,5,6,2,1,2016
19,6,6,4,3,2,2016
0,8,6,4,1,2,2016
1,6,6,4,2,1,2016
10,5,4,5,1,2,2016
2,9,6,5,1,2,2016
3,1,6,4,2,2,2016
12,6,7,4,2,1,2016
2,3,7,3,2,2,2016
4,9,6,5,2,1,2016
12,6,6,4,2,2,2016
3,1,6,5,2,2,2016
3,10,7,6,2,2,2016
1,5,5,5,1,2,2016
0,9,5,5,2,1,2016
5,1,6,5,2,2,2016
10,6,5,5,2,1,2016
4,1,3,5,1,1,2016
15,5,4,5,1,2,2016
15,5,3,5,1,1,2016
10,9,6,6,2,2,2016
2,7,5,5,2,2,2016
3,10,7,6,2,1,2016
8,7,6,5,1,1,2016
2,7,5,5,1,2,2016
6,8,6,4,2,2,2016
0,6,5,5,1,2,2016
1,8,4,5,2,2,2016
2,6,4,5,1,2,2016
2,7,4,5,1,1,2016
0,7,5,5,2,2,2016
15,8,6,5,2,1,2016
10,5,5,3,2,2,2016
10,8,6,4,2,2,2016
0,7,6,4,2,2,2016
0,2,6,6,2,1,2016
3,7,9,5,2,2,2016
0,7,5,5,2,2,2016
4,5,5,3,3,2,2016
0,3,6,4,2,2,2016
1,7,6,4,3,1,2016
6,5,5,4,2,2,2016
0,5,3,5,1,2,2016
1,3,7,3,2,2,2016
0,6,4,3,1,1,2016
0,10,6,5,2,1,2016
0,7,6,4,1,2,2016
7,4,9,5,2,1,2016
2,6,5,5,1,1,2016
3,1,8,4,2,1,2016
3,6,5,5,1,2,2016
3,6,5,5,2,2,2016
7,5,4,5,1,1,2016
1,6,5,5,2,1,2016
0,7,7,3,3,1,2016
0,8,5,4,2,1,2016
0,10,6,5,1,1,2016
2,6,5,5,2,1,2016
0,9,6,6,1,1,2016
1,5,4,5,1,1,2016
2,9,5,6,1,1,2016
8,5,6,5,2,2,2016
1,7,6,3,2,1,2016
1,7,6,5,1,2,2016
1,1,4,3,2,2,2016
1,9,8,6,4,2,2016
1,7,8,4,2,1,2016
5,6,4,6,1,1,2016
2,8,7,2,2,2,2016
2,8,4,5,2,1,2016
4,2,2,4,1,2,2016
3,7,5,6,1,1,2016
0,8,7,6,2,2,2016
1,7,8,3,3,2,2016
5,3,6,3,2,2,2016
3,5,6,3,2,2,2016
1,9,7,6,2,2,2016
1,8,6,3,2,2,2016
0,5,5,5,1,2,2016
3,6,6,6,2,2,2016
1,6,7,3,4,2,2016
1,6,6,5,2,2,2016
0,4,10,4,2,1,2016
1,3,10,1,2,1,2016
0,6,7,6,2,2,2016
3,5,8,4,2,1,2016
0,4,8,3,2,2,2016
1,8,5,5,1,2,2016
1,2,8,3,2,2,2016
1,7,5,5,2,1,2016
1,10,7,3,2,2,2016
0,2,10,2,4,2,2016
1,6,7,3,2,2,2016
8,8,9,4,2,2,2016
3,9,7,5,2,2,2016
2,8,8,4,2,2,2016
2,8,6,5,1,1,2016
3,7,4,5,1,2,2016
1,6,5,6,1,2,2016
2,1,7,3,1,2,2016
3,6,6,5,2,1,2016
4,2,5,4,2,2,2016
2,10,7,3,2,1,2016
5,8,6,6,1,2,2016
0,6,8,5,2,1,2016
1,4,8,3,2,2,2016
0,6,4,5,1,2,2016
2,7,8,5,2,1,2016
0,6,4,3,1,2,2016
0,2,2,3,1,1,2016
1,10,5,6,2,2,2016
8,7,7,3,2,1,2016
1,2,10,5,2,2,2016
3,2,4,5,1,2,2016
3,6,7,4,2,1,2016
2,5,9,4,4,2,2016
1,10,7,5,2,1,2016
1,5,8,3,2,2,2016
5,9,5,5,2,1,2016
1,6,4,5,1,2,2016
3,5,9,2,2,1,2016
1,6,4,6,1,2,2016
1,5,5,5,1,2,2016
0,2,7,1,2,2,2016
3,7,5,5,1,1,2016
1,6,7,3,2,2,2016
3,6,4,5,1,1,2016
3,5,5,5,2,2,2016
8,6,9,6,2,1,2016
2,6,5,4,2,2,2016
6,2,10,1,2,2,2016
1,8,4,6,2,2,2016
1,5,3,3,1,2,2016
0,4,7,3,4,2,2016
1,1,8,3,2,2,2016
4,8,5,5,2,1,2016
0,1,6,5,2,1,2016
6,6,7,3,2,1,2016
1,6,5,5,1,2,2016
5,1,3,5,1,2,2016
0,8,7,6,2,2,2016
1,7,7,4,2,2,2016
6,2,3,5,1,1,2016
0,1,8,1,2,2,2016
0,1,6,4,2,2,2016
5,5,4,5,2,2,2016
1,5,4,5,1,2,2016
3,5,8,3,4,2,2016
1,5,4,4,1,2,2016
4,2,10,3,2,1,2016
1,6,5,5,1,2,2016
0,2,10,3,2,1,2016
1,5,4,5,1,1,2016
10,6,7,5,2,2,2016
4,2,10,4,2,1,2016
1,1,7,5,2,2,2016
6,8,9,5,2,2,2016
7,8,10,5,2,1,2016
4,6,7,2,2,2,2016
2,8,9,5,2,1,2016
1,9,9,6,1,1,2016
0,9,5,5,2,1,2016
2,5,7,3,1,2,2016
8,8,7,5,2,2,2016
10,10,8,5,2,2,2016
13,8,8,3,2,2,2016
1,10,7,6,2,1,2016
10,6,7,3,2,2,2016
3,6,6,5,2,2,2016
0,9,7,5,2,1,2016
0,10,10,5,2,1,2016
3,9,8,5,2,1,2016
2,3,10,1,2,2,2016
1,8,6,6,1,2,2016
1,8,6,6,2,1,2016
1,8,6,6,1,1,2016
12,9,4,3,2,2,2016
1,8,9,5,2,1,2016
3,10,7,4,2,1,2016
12,9,4,6,1,1,2016
1,6,5,5,1,2,2016
10,4,7,1,2,2,2016
0,9,5,5,1,2,2016
12,9,7,5,2,2,2016
5,2,10,1,2,1,2016
1,2,10,2,2,2,2016
3,9,6,3,2,1,2016
3,1,6,5,1,2,2016
5,7,7,3,2,2,2016
3,9,10,5,2,1,2016
0,6,8,3,2,2,2016
2,8,9,3,2,1,2016
2,7,6,5,2,1,2016
1,8,7,6,2,1,2016
6,7,8,2,2,2,2016
4,5,4,5,1,2,2016
6,1,5,5,2,2,2016
4,1,7,3,2,2,2016
3,1,9,5,2,1,2016
3,7,6,4,2,1,2016
0,7,7,5,2,1,2016
0,5,7,5,2,2,2016
12,5,7,3,2,2,2016
2,9,6,5,2,1,2016
2,8,6,5,1,2,2016
10,1,8,3,2,2,2016
2,6,6,3,2,1,2016
0,9,5,5,1,1,2016
1,5,6,3,2,2,2016
1,4,7,5,2,1,2016
6,1,5,6,2,2,2016
0,8,8,4,2,1,2016
0,8,7,5,2,2,2016
2,6,10,5,2,1,2016
3,9,9,4,2,1,2016
1,7,10,4,2,1,2016
2,5,7,5,2,1,2016
3,5,9,5,2,1,2016
3,10,7,5,2,1,2016
3,2,10,3,2,2,2016
1,10,7,5,2,2,2016
2,3,8,3,2,2,2016
2,8,9,5,2,2,2016
2,4,7,2,2,2,2016
0,3,10,1,2,1,2016
0,6,7,4,2,2,2016
2,7,7,3,2,2,2016
1,5,3,5,1,2,2016
1,1,8,5,2,2,2016
1,2,9,4,2,1,2016
2,8,7,5,2,1,2016
1,1,9,2,2,2,2016
12,7,6,4,2,1,2016
1,5,7,2,2,1,2016
1,5,7,3,2,2,2016
4,9,6,5,4,2,2016
1,5,10,3,2,1,2016
1,8,8,5,2,1,2016
0,10,7,3,2,1,2016
1,6,4,6,1,2,2016
1,3,8,2,2,2,2016
0,5,10,1,4,2,2016
10,1,6,5,2,2,2016
1,8,8,5,2,1,2016
2,3,9,1,2,1,2016
3,6,6,4,2,2,2016
5,5,8,5,2,1,2016
1,6,6,5,1,2,2016
0,7,5,4,2,2,2016
1,2,8,3,2,1,2016
4,4,4,5,1,2,2016
4,8,6,6,1,1,2016
4,10,6,5,2,1,2016
12,1,5,5,2,2,2016
4,7,5,5,2,1,2016
1,2,10,1,2,2,2016
0,1,5,5,2,2,2016
0,5,4,3,1,1,2016
2,6,4,5,1,2,2016
0,3,10,3,2,1,2016
0,2,8,1,2,2,2016
2,6,4,6,1,1,2016
1,10,5,6,2,1,2016
1,2,10,2,4,1,2016
7,8,5,5,2,2,2016
2,1,6,3,2,2,2016
0,1,8,1,2,2,2016
0,5,10,2,2,1,2016
10,4,5,5,2,2,2016
1,5,3,2,1,1,2016
0,2,10,1,2,2,2016
0,6,8,3,3,1,2016
0,9,5,5,1,1,2016
7,8,7,4,2,1,2016
0,1,8,1,2,2,2016
0,7,6,3,1,1,2016
1,1,7,3,2,2,2016
0,7,7,2,2,1,2016
0,1,10,1,2,1,2016
0,5,5,5,1,2,2016
1,2,1,2,1,2,2016
5,1,7,3,2,1,2016
0,2,10,1,2,1,2016
0,8,5,3,2,1,2016
0,2,10,1,2,2,2016
12,7,3,5,1,1,2016
6,8,9,3,2,1,2016
0,4,6,1,2,1,2016
0,2,8,1,2,1,2016
0,1,9,1,2,2,2016
3,2,3,5,1,2,2016
4,6,5,6,2,1,2016
1,7,5,5,2,1,2016
1,5,5,3,1,1,2016
1,6,10,6,2,1,2016
3,6,9,3,2,1,2016
1,2,2,3,1,2,2016
3,10,7,4,1,1,2016
10,6,6,3,2,1,2016
3,6,5,4,2,1,2016
1,3,10,1,2,2,2016
0,4,7,4,3,2,2016
3,5,7,3,2,2,2016
0,7,3,5,1,2,2016
0,6,4,3,1,1,2016
0,2,9,1,2,2,2016
2,2,10,1,4,2,2016
2,3,7,2,4,1,2016
5,2,9,1,4,2,2016
4,6,4,5,1,1,2016
1,5,5,3,2,2,2016
0,2,10,2,4,2,2016
1,2,7,2,2,2,2016
0,2,10,1,4,2,2016
4,5,7,4,2,2,2016
1,5,7,3,2,2,2016
10,7,5,4,2,1,2016
1,8,7,2,2,1,2016
1,1,7,2,2,2,2016
2,6,7,4,1,2,2016
0,2,9,1,2,1,2016
0,2,4,3,1,1,2016
1,8,8,4,2,1,2016
1,5,4,5,1,2,2016
12,6,4,5,1,2,2016
0,7,10,5,2,1,2016
1,6,9,3,2,2,2016
14,3,6,3,2,2,2016
3,5,8,3,2,2,2016
0,5,7,3,2,1,2016
1,6,5,5,1,1,2016
0,4,10,2,2,2,2016
0,2,8,3,2,2,2016
1,7,5,5,1,2,2016
1,1,6,3,2,2,2016
0,5,9,4,2,2,2016
15,8,10,3,4,2,2016
1,7,7,6,2,1,2016
1,6,5,5,2,2,2016
2,1,7,5,2,1,2016
0,4,10,2,3,1,2016
10,9,6,6,2,1,2016
5,1,6,5,2,2,2016
2,10,7,4,3,1,2016
1,10,7,5,2,2,2016
0,2,10,1,2,2,2016
0,2,10,1,2,2,2016
0,1,10,2,4,2,2016
0,2,6,3,2,2,2016
0,3,5,3,1,1,2016
1,3,9,3,2,1,2016
0,1,8,2,2,2,2016
0,5,8,1,1,1,2016
1,6,4,4,2,2,2016
1,5,3,5,1,2,2016
1,6,4,5,1,1,2016
1,1,2,2,1,1,2016
3,1,2,3,1,2,2016
1,6,5,5,2,2,2016
4,7,4,3,2,1,2016
0,5,7,5,2,1,2016
1,6,6,3,2,1,2016
1,3,10,2,2,1,2016
0,5,8,3,2,1,2016
1,5,8,3,2,2,2016
0,1,8,3,2,2,2016
0,2,1,2,1,2,2016
0,6,7,3,2,1,2016
1,8,9,4,2,2,2016
4,6,4,5,1,1,2016
0,1,8,1,2,1,2016
0,5,5,5,1,2,2016
2,3,8,4,2,2,2016
2,7,5,5,1,1,2016
1,6,5,6,1,1,2016
6,4,3,5,1,1,2016
5,6,6,4,2,2,2016
0,2,9,1,2,1,2016
0,1,9,2,2,2,2016
10,2,10,2,2,2,2016
0,3,10,1,4,1,2016
0,10,6,4,2,2,2016
8,6,4,5,1,1,2016
0,5,7,3,2,1,2016
0,6,7,2,2,1,2016
6,5,7,5,2,1,2016
3,5,4,5,1,1,2016
3,4,10,1,4,2,2016
0,2,10,1,2,1,2016
2,3,6,5,2,2,2016
3,10,7,6,2,1,2016
6,7,5,5,1,2,2016
1,3,5,3,2,2,2016
10,9,7,3,2,2,2016
6,4,9,1,2,1,2016
1,6,8,2,2,1,2016
2,5,4,5,1,2,2016
3,1,6,2,2,2,2016
9,2,10,1,2,2,2016
2,1,10,2,2,2,2016
0,1,2,2,1,1,2016
7,1,4,6,1,2,2016
1,5,5,6,2,1,2016
12,2,3,5,1,2,2016
3,1,1,2,1,2,2016
10,6,4,5,1,2,2016
0,5,6,4,2,2,2016
1,2,8,3,2,1,2016
2,9,6,2,2,1,2016
3,6,4,5,1,1,2016
1,3,6,2,2,1,2016
3,8,5,6,2,1,2016
1,7,6,4,2,1,2016
3,5,8,3,2,1,2016
1,1,8,3,2,2,2016
0,1,10,1,2,2,2016
0,5,9,3,4,2,2016
3,7,8,3,2,1,2016
10,5,8,3,2,2,2016
3,6,6,3,1,1,2016
0,1,7,6,2,2,2016
0,4,8,1,2,1,2016
1,5,8,3,2,2,2016
2,6,6,5,2,1,2016
0,2,10,1,2,2,2016
2,8,6,4,3,1,2016
0,5,7,2,2,1,2016
1,2,7,2,1,1,2016
0,7,7,4,2,1,2016
0,2,10,1,4,2,2016
0,3,8,2,2,2,2016
3,3,3,3,1,2,2016
8,6,10,5,3,2,2016
3,8,6,5,2,1,2016
10,3,8,1,4,2,2016
0,2,10,1,2,2,2016
1,1,6,3,2,2,2016
1,8,6,5,2,1,2016
0,2,10,1,2,1,2016
7,4,3,4,1,2,2016
0,4,10,1,4,2,2016
3,6,8,3,2,1,2016
3,6,3,5,1,2,2016
0,3,3,5,1,2,2016
0,1,8,2,4,2,2016
10,1,6,3,2,2,2016
0,2,10,1,2,1,2016
3,1,7,5,2,2,2016
1,6,7,5,2,1,2016
2,2,2,3,1,2,2016
1,1,3,5,1,1,2016
10,10,6,5,2,1,2016
0,5,7,4,2,2,2016
8,6,7,5,1,1,2016
10,6,5,4,1,2,2016
3,1,2,3,1,2,2016
1,7,4,5,1,1,2016
0,6,6,4,2,2,2016
3,3,3,5,1,2,2016
3,1,1,2,1,2,2016
0,3,9,1,2,2,2016
2,9,6,4,2,1,2016
3,6,4,3,2,1,2016
1,5,5,5,2,2,2016
0,8,6,4,1,1,2016
0,1,7,2,2,1,2016
3,1,6,5,2,2,2016
0,5,4,5,1,2,2016
0,2,10,3,2,1,2016
6,7,6,3,1,1,2016
2,8,6,6,2,1,2016
1,3,6,3,2,2,2016
1,5,5,3,2,1,2016
5,5,4,5,1,1,2016
12,6,7,2,2,2,2016
0,6,4,5,1,1,2016
3,6,4,6,1,1,2016
1,6,5,5,1,1,2016
6,6,6,4,1,2,2016
9,2,2,2,1,2,2016
0,2,10,1,2,1,2016
0,2,2,3,1,1,2016
0,2,10,1,4,1,2016
6,2,5,5,2,2,2016
0,2,9,1,2,1,2016
0,3,7,3,2,1,2016
9,2,3,6,1,2,2016
0,1,9,1,2,2,2016
1,3,9,1,2,2,2016
2,6,5,5,1,1,2016
0,2,7,3,2,2,2016
1,6,6,3,2,2,2016
20,9,9,4,2,1,2016
0,8,9,5,2,1,2016
0,9,8,6,2,1,2016
0,2,9,3,2,2,2016
10,8,4,6,1,1,2016
9,8,7,3,2,1,2016
0,2,9,5,2,2,2016
0,5,7,2,2,2,2016
4,10,5,5,2,1,2016
1,6,7,5,2,1,2016
0,1,10,1,2,2,2016
0,6,10,5,4,2,2016
1,3,3,5,1,2,2016
0,2,10,1,2,1,2016
1,8,6,3,2,1,2016
0,2,10,1,2,2,2016
0,2,10,1,2,2,2016
0,5,6,3,1,1,2016
0,2,10,1,4,2,2016
1,2,10,1,4,2,2016
1,6,10,5,2,2,2016
1,2,10,1,2,2,2016
2,5,9,4,2,2,2016
0,1,8,1,2,2,2016
2,6,10,3,2,1,2016
1,2,3,5,1,1,2016
2,5,5,4,2,2,2016
3,8,6,5,2,2,2016
7,4,10,3,2,1,2016
6,7,9,6,2,1,2016
0,2,10,1,2,1,2016
2,2,2,3,1,1,2016
0,2,8,1,2,1,2016
1,5,7,3,1,2,2016
4,6,7,3,2,2,2016
4,7,7,3,2,2,2016
0,2,8,3,2,2,2016
1,5,4,5,1,2,2016
0,1,7,1,3,1,2016
